cxrf,total_ror,a_p,accr,agro,aroe,asst_risk,blev,bps,btop_risk,calf,cflow,ctop,dcut,dsuseh,dtoa,e_p,epsn,erhp,erv3,erv6,etop_risk,flsn,funq,grex,gro5,grot,hbet,hsig,ogro,optp,PAIM,pncv,rasr,rosa,rstr,size,stvi,a_p_cwcnorm,accr_cwcnorm,agro_cwcnorm,aroe_cwcnorm,asst_risk_cwcnorm,blev_cwcnorm,bps_cwcnorm,btop_risk_cwcnorm,calf_cwcnorm,cflow_cwcnorm,ctop_cwcnorm,dcut_cwcnorm,dsuseh_cwcnorm,dtoa_cwcnorm,e_p_cwcnorm,epsn_cwcnorm,erhp_cwcnorm,erv3_cwcnorm,erv6_cwcnorm,etop_risk_cwcnorm,flsn_cwcnorm,funq_cwcnorm,grex_cwcnorm,gro5_cwcnorm,grot_cwcnorm,hbet_cwcnorm,hsig_cwcnorm,ogro_cwcnorm,optp_cwcnorm,PAIM_cwcnorm,pncv_cwcnorm,rasr_cwcnorm,rosa_cwcnorm,rstr_cwcnorm,size_cwcnorm,stvi_cwcnorm,industry_group,economic_sector_group,market,py_month_end,std_january,rolling_January,std_feb,rolling_feb,,new_rollingstd_last_12,single_seasonal,errro,single,double..,An,Bn,error1,error2,,,
3544,1.068423486,,0.008734549,0.072003625,0.217805102,6.983716965,1.318308234,1.930323005,0.607019842,,0.143360183,0.045081817,0.22768271,0,0.196607947,-1.478030801,-1.174740911,0.011845779,0,,0.03634727,-0.597986639,-0.536660969,-0.32911849,-0.32911849,-3.684906006,0.835913658,0.409996808,-0.054195713,0.04420739,0,0,0.40890944,0.016170865,-0.701519012,-3.169825077,0.191609144,,,-0.865402645,0.164226294,-2.1119731,-0.244191698,,0.261228658,,,-1.014620398,0.357556363,0.629195593,0.048786789,-1.684909086,-1.382197671,-1.639341811,0.199204281,,-0.785108659,-0.665522634,-1.403250481,-1.649480031,-1.550291295,-2.610915965,-0.008764784,0.245434152,-0.900411575,-1.099511216,-0.155123465,-0.222410186,-0.118566167,,-0.726200437,-3.24869488,-0.963774042,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/10/2011,0.0684456,0.063716006,0.067546414,0.064661925,,0.0684456,0.078033631,9.19303E-05,0.054193306,0.050024659,0.053307869,0.008938171,0.009949122,0.00328321,,,
3544,0.939632936,,0.009258623,0.076269075,0.214787677,6.960775852,1.298404574,1.923114657,0.641038239,,0.138056964,0.046018984,0.226776674,0,0.187509373,-1.527905703,-1.158848882,0.00750579,0,,0.036760364,-0.582855165,-0.474559903,-0.306108773,-0.306108773,-3.162271261,0.850373447,0.408810019,-0.049527571,0.042340815,0,0,0.334623992,0.009434303,-0.521854162,-3.189630747,0.165119126,,,-0.819983716,0.176676512,-2.074970912,-0.270807463,,0.207079314,,,-1.045327996,0.361343371,0.660872803,0.004137242,-1.749446206,-1.38173627,-1.705824805,0.402709388,,-0.799412123,-0.655847637,-1.264655034,-1.499194729,-1.421562624,-2.277124103,0.050335939,0.260994157,-0.847389591,-1.17449566,-0.161975975,-0.21736743,-0.350300293,,-0.540648412,-3.27244465,-1.050861584,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/11/2011,0.067546414,0.064661925,0.070536626,0.065238822,,0.067546414,0.078113084,0.000111655,0.058817686,0.062246041,0.063252702,0.0097435,0.003050488,0.001006661,,,
3544,0.910155622,,0.010325601,0.076269075,0.214097813,6.971980095,1.296985388,1.93230474,0.718328893,,0.138056964,0.051322289,0.227314532,0,0.187509373,-1.534911036,-1.16369915,0.008408535,0,,0.040996689,-0.587022066,-0.486332327,-0.306108773,-0.306108773,-3.162271261,0.963587821,0.387284189,-0.049527571,0.047220241,0,0,0.34120062,0.009434303,-0.910339177,-3.266847134,0.153101906,,,-0.817131135,0.157414675,-2.193410954,-0.256552062,,0.347076861,,,-1.000742136,0.348761962,0.665982758,0.014905375,-1.759761687,-1.353126745,-1.758496935,0.5300186,,-0.777589678,-0.65583691,-1.302220696,-1.522467939,-1.438058592,-2.280100098,0.305471734,0.11573191,-0.853953924,-1.139514579,-0.153211645,-0.220166813,-0.313256245,,-0.935274304,-3.346705676,-1.214308685,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/12/2011,0.070536626,0.065238822,0.072471785,0.066298383,,0.070536626,0.078118917,5.74911E-05,0.06400076,0.072996202,0.070316785,0.007599967,-0.008119445,-0.002679417,,,
3544,1.023722155,,0.010063721,0.076269075,0.214916945,6.970760345,1.295579553,1.941494823,0.703440189,,0.138056964,0.050020635,0.226176739,0,0.187509373,-1.533829927,-1.146914601,0.008181305,0,,0.039956916,-0.547200799,-0.496392101,-0.306108773,-0.306108773,-3.162271261,0.913480401,0.327168643,-0.049527571,0.046022628,0,0,0.213257462,0.009434303,-1.309963822,-3.325284004,0.173024312,,,-0.79203631,4,-2.285140957,-0.247542755,,0.430436305,,,-0.950295317,0.434777124,0.680397477,0.012540559,-1.773448478,-1.318157659,-1.748639335,0.459305727,,-0.738531588,-0.611198514,-1.366979211,-1.522968511,-1.444072497,-2.362992936,0.232188026,-0.370451906,-0.885022092,-1.099526267,-0.14634446,-0.206309355,-0.712127277,,-1.354824345,-3.40305459,-0.967909551,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/1/2012,0.072471785,0.066298383,0.072445085,0.067533063,,0.072471785,0.118361534,0.002105869,0.064701558,0.077916752,0.073612745,0.004156761,-0.013042446,-0.004304007,,,
3544,1.063962597,,0.009479819,0.076269075,0.216461092,6.972664356,1.294187069,1.950684905,0.665762782,,0.138056964,0.047118414,0.225909635,0,0.187509373,-1.60990119,-1.438212276,0.007749824,0,,0.037638597,-0.201688141,-0.499683261,-0.306108773,-0.306108773,-3.162271261,0.911044002,0.325695366,-0.049527571,0.043352373,0,0,0.222217381,0.009434303,-1.33545804,-3.329610109,0.168412954,,,-0.801863295,4,-2.252537587,-0.250024376,,0.443039583,,,-0.978902937,0.452167169,0.735275206,0.008252239,-1.867342354,-1.671301284,-1.896498917,0.351760208,,-0.7541797,-0.219317233,-1.362658154,-1.536861024,-1.488149289,-2.343402156,0.203811927,-0.384599479,-0.878196775,-1.126802707,-0.146469844,-0.212377969,-0.72716282,,-1.376896924,-3.408806853,-0.828940209,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,29/2/2012,0.072445085,0.067533063,0.069280295,0.068515468,,0.072445085,0.132242339,0.003575712,0.064839756,0.077769506,0.077049614,0.003580847,-0.002181491,-0.000719892,,,
3544,0.900324994,,0.010521162,0.076269075,0.212319702,6.971716881,1.292807579,1.959874988,0.742376924,,0.138056964,0.052294303,0.227541387,0,0.187509373,-1.543444037,-1.419653893,0.00873209,0,,0.04177314,-0.292162687,-0.422266483,-0.309310645,-0.309310645,-2.798568964,0.899508774,0.322761297,-0.041753501,0.048114564,0,0,0.209649324,0.009434303,-1.141598701,-3.303436279,0.198699221,,,-0.848168133,0.24443388,-2.243276695,-0.328487468,,0.47281973,,,-0.952286288,0.475079659,0.754139109,-0.08108775,-1.790760519,-1.646030327,-1.778410077,0.385864175,,-0.724688571,-0.325725202,-1.174100035,-1.509797915,-1.483511117,-2.101453158,0.181885669,-0.393238935,-0.795911518,-1.131231063,-0.145677795,-0.197752061,-0.759961868,,-1.171224087,-3.382034322,-0.143844814,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/3/2012,0.069280295,0.068515468,0.064423402,0.068668433,,0.069280295,0.128446277,0.003500613,0.073438363,0.080630461,0.075688398,-0.000372803,-0.014975949,-0.004942063,,,
3544,1.077614371,,0.024842538,0.049667623,0.204173043,6.883816242,1.239149332,1.937431931,0.679800689,,0.131949469,0.046298061,0.23449406,0,0.165761083,-1.663827419,-1.602637649,0.011875413,0,,0.021455523,-0.403301448,-0.500327826,-0.33842662,-0.33842662,-3.860367298,0.802720904,0.284759194,-0.062359996,0.045064997,0,0,0.134489819,0.014733536,-0.875991285,-3.237321615,0.182995632,,,-1.018926593,0.129948854,-2.302623653,-0.417289529,,0.340524837,,,-0.999145059,0.515151059,0.770449805,-0.225142215,-1.913361746,-1.877325738,-1.735910645,0.344527951,,-1.117431058,-0.450841215,-1.314729502,-1.658140753,-1.586318874,-2.471289363,-0.130736457,-0.682457986,-0.912457286,-1.155888256,-0.152065931,-0.20347407,-1.015957602,,-0.898830029,-3.314526311,-0.083070429,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/4/2012,0.064423402,0.068668433,0.059316926,0.067819427,,0.064423402,0.121802504,0.003292361,0.067211282,0.075315595,0.075451157,-0.000264354,0.000410794,0.000135562,,,
3544,0.96620451,,0.02546807,0.049667623,0.202933937,6.872582436,1.238522053,1.942527652,0.698750913,,0.131949469,0.047463838,0.232218817,0,0.165761083,-1.681123853,-1.568889618,0.012007595,0,,0.02199577,-0.405031025,-0.401988536,-0.35088098,-0.35088098,-2.87404871,0.768518746,0.27594012,-0.068066336,0.046199728,0,0,0.121568114,0.014733536,-0.516791344,-3.166007519,0.168930888,,,-0.970348713,0.293955803,-2.198134634,-0.399302201,,0.270861068,,,-1.058898172,0.498169339,0.739516368,-0.177942915,-1.922120517,-1.849522513,-1.756500579,0.381676912,,-1.139980853,-0.453696578,-1.122527724,-1.649241655,-1.588708808,-2.093477452,-0.19014064,-0.779346197,-0.936560751,-1.209514064,-0.160563445,-0.235433985,-1.074990761,,-0.527571119,-3.244940828,-0.303204383,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/5/2012,0.059316926,0.067819427,0.083393974,0.066118927,,0.059316926,0.094121552,0.001211362,0.074023367,0.075186803,0.073253526,-0.001810976,-0.005858416,-0.001933277,,,
3544,0.905225198,,0.028207662,0.049667623,0.20339717,6.872515202,1.237897992,1.947623253,0.775945544,,0.131949469,0.052569509,0.231531247,0,0.165761083,-1.609385014,-1.538226366,0.013241607,0,,0.024361849,-0.488025606,-0.414021343,-0.35088098,-0.35088098,-2.87404871,0.75954777,0.278173238,-0.068066336,0.051169422,0,0,0.12529923,0.014733536,-0.797106743,-3.250174522,0.136331558,,,-0.95101115,0.273259878,-2.197642331,-0.396013055,,0.423858067,,,-0.978806874,0.480196021,0.7633397,-0.167494798,-1.819449758,-1.839229643,-1.715342868,0.608902548,,-1.089499343,-0.54654563,-1.124212739,-1.661145423,-1.604896866,-2.092891311,-0.20086167,-0.68701221,-0.946609568,-1.156007078,-0.157090791,-0.226122554,-1.056645913,,-0.812921685,-3.332542274,-0.70734297,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/6/2012,0.083393974,0.066118927,0.089813525,0.069573936,,0.083393974,0.093819763,0.000108697,0.070267383,0.07144255,0.07029351,-0.002730208,-0.00348194,-0.00114904,,,
3544,0.895064399,,0.031467214,0.049667623,0.203462571,6.8710289,1.235514164,1.967336297,0.874371648,,0.131949469,0.058644209,0.231020197,0.007659434,0.165761083,-1.240114689,-1.315174103,0.029991437,0,0,0.027176995,-0.519199848,-0.41973573,-0.35088098,-0.35088098,-2.87404871,0.790057421,0.276015967,-0.068066336,0.057082333,0,0,0.083479024,0.014733536,-1.035946727,-3.34204483,0.127634615,,,-0.940760963,0.314900875,-2.217300122,-0.384494317,,0.573547033,,,-0.85901637,0.466991896,1.361399864,-0.150479824,-1.398762804,-1.561286828,-1.293597691,0.958332181,0.669575324,-0.99040222,-0.576031066,-1.181704086,-1.714712004,-1.632210792,-2.167822503,-0.102559484,-0.67491799,-0.956049495,-1.036251121,-0.154544607,-0.210754396,-1.210402824,,-1.055396892,-3.427549752,-0.908091451,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/7/2012,0.089813525,0.069573936,0.08513547,0.073621854,,0.089813526,0.095590854,3.33775E-05,0.068421964,0.067563302,0.063761918,-0.005771315,-0.011519344,-0.003801383,,,
3544,1.01113818,,0.031327978,0.049667623,0.193578601,6.873370647,1.235663891,1.966086268,0.869949639,,0.131949469,0.05838472,0.231577665,0.007659434,0.165761083,-1.308267236,-1.271449089,0.029779037,0,0,0.027056742,-0.508562803,-0.386728078,-0.351189762,-0.351189762,-2.910235643,0.818118572,0.272979707,-0.068308547,0.056829754,0,0,0.10938213,0.014733536,-0.857769549,-3.323319912,0.138339028,,,-0.967264205,0.211086273,-2.199133825,-0.407157335,,0.502310988,,,-0.952269989,0.455822791,1.394525525,-0.184180031,-1.469959132,-1.513434046,-1.314232694,1.053194066,0.806503768,-1.068186217,-0.553098667,-1.158253118,-1.662081341,-1.572544572,-2.273164837,-0.056476792,-0.672805867,-0.973089581,-1.137234823,-0.158538904,-0.225485224,-1.129368846,,-0.875449594,-3.409023481,-0.7333454,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/8/2012,0.08513547,0.073621854,0.105817617,0.075924577,,0.085135471,0.085858437,5.2268E-07,0.058519559,0.057990604,0.061368055,-0.003069354,0.0102347,0.003377451,,,
3544,1.036647831,,0.030517774,0.048389815,0.192024589,6.926303864,1.240371585,1.953843236,0.842173815,,0.117080949,0.050465927,0.239044115,0.006375524,0.160976589,-1.315670013,-1.302205086,0.029309448,0,0,0.019948155,-0.461221397,-0.374117881,-0.35250178,-0.35250178,-2.588582277,0.828449309,0.270553559,-0.077087179,0.054140322,0,0,0.11328768,0.013296023,-0.953329742,-3.327941179,0.166397288,,,-0.990733374,0.197610855,-2.19051868,-0.391325791,,0.515063041,,,-1.007124413,0.498469426,1.32819322,-0.212810421,-1.495687801,-1.531999009,-1.22967635,0.762339489,0.786535847,-1.105064673,-0.508511389,-1.149956969,-1.588646503,-1.52670065,-2.141111364,-0.012737908,-0.662858017,-0.969236127,-1.128494648,-0.155336181,-0.233862305,-1.124276954,,-0.980526979,-3.415286584,-0.390555939,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/9/2012,0.105817617,0.075924577,0.105868166,0.081903185,,0.105817617,0.081444805,0.000594034,0.066284155,0.058298701,0.062026536,-8.71E-05,0.011296469,0.003727835,,,
3544,1.059376809,,0.029016897,0.048389815,0.190546453,6.933870792,1.239299893,1.962593317,0.804341495,,0.117080949,0.047983997,0.238816783,0.006375524,0.160976589,-1.36945188,-1.400276423,0.027901744,0,0,0.018967098,-0.484252542,-0.32250309,-0.278656989,-0.278656989,-2.164115906,0.862458408,0.250533402,-0.045947056,0.051477682,0,0,0.130908787,0.013296023,-0.772108436,-3.323390484,0.16722475,,,-0.992578424,0.139021873,-2.249088517,-0.387180072,,0.463738613,,,-1.036709162,0.492376203,1.31980355,-0.211097773,-1.578338719,-1.633662013,-1.280153395,0.431815267,0.731482296,-1.118321642,-0.547168291,-1.074448268,-1.346660867,-1.279576872,-1.964311552,0.107621937,-0.789735885,-0.872097701,-1.157372375,-0.150330127,-0.233353046,-1.060277291,,-0.784267365,-3.408222481,-0.208772898,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/10/2012,0.105868166,0.081903185,0.111072796,0.086696181,,0.105868166,0.078033631,0.000774761,0.068932967,0.06193945,0.062505665,0.000365886,0.001715803,0.000566215,,,
3544,0.899225231,,0.032329332,0.040881544,0.197745681,6.912833214,1.253310561,1.956375837,0.893322289,,0.115230791,0.052616797,0.240476251,0.009181444,0.173710525,-1.357671976,-1.279560685,0.031413682,0,0,0.020287469,-0.383602589,-0.316943645,-0.327315062,-0.327315062,-2.42847681,0.900703371,0.249023855,-0.060586754,0.05543115,0,0,0.149333596,0.010241891,-1.027387261,-3.3379879,0.173312157,,,-1.047045797,-0.044430494,-2.358297888,-0.376340065,,0.622979932,,,-1.012901669,0.489426203,1.503774607,-0.146396116,-1.570959756,-1.440457594,-1.236098493,0.165130004,0.684919927,-1.107708125,-0.423817464,-1.060473627,-1.501008196,-1.416096581,-2.008985596,0.201041951,-0.796318687,-0.915171558,-1.125842754,-0.151605228,-0.233029595,-0.987981991,,-1.044211391,-3.417111588,-0.068474869,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/11/2012,0.111072796,0.086696181,0.106361466,0.091571504,,0.111072796,0.078113084,0.001086343,0.064710796,0.062871551,0.063108885,0.000555754,0.000719195,0.000237334,,,
3544,1.081611667,,0.029873941,0.040881544,0.195668831,6.912267685,1.254140973,1.949983239,0.822777689,,0.115230791,0.048620585,0.242046624,0,0.173710525,-1.695469737,-1.623515725,0.01365439,0,,0.018746648,-0.37635088,-0.300326079,-0.327315062,-0.327315062,-2.42847681,0.888552368,0.245034024,-0.060586754,0.051221192,0,0,0.187114805,0.010241891,-1.065406799,-3.337786913,0.147838116,,,-1.051771982,-0.05669713,-2.31003178,-0.383334867,,0.631838537,,,-1.032288768,0.522900294,0.822920151,-0.157160849,-1.993228991,-1.84250203,-1.614450821,0.047762884,,-1.124438878,-0.419027561,-1.035776573,-1.498681762,-1.411783044,-2.012407944,0.097421948,-0.840552773,-0.910534714,-1.174002697,-0.149131399,-0.24607176,-0.891636606,,-1.088078192,-3.416211381,-0.374930209,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/12/2012,0.106361466,0.091571504,0.108488064,0.094529497,,0.106361467,0.078118917,0.000797642,0.063814756,0.063664639,0.063631113,0.000528932,-0.000101595,-3.35E-05,,,
3544,1.022948956,,0.029256709,0.040881544,0.194682851,6.913908958,1.253659368,1.953685641,0.807308137,,0.115230791,0.047616027,0.239156932,0,0.173710525,-1.673352003,-1.580297351,0.013459167,0,,0.01835932,-0.357382327,-0.291356802,-0.327315062,-0.327315062,-2.42847681,0.982155621,0.208018288,-0.060586754,0.0501629,0,0,0.191469803,0.010241891,-1.04059279,-3.366477728,0.136600569,,,-1.056086573,-0.076640844,-2.301837693,-0.386608525,,0.670901397,,,-1.001292442,0.566721345,0.772035611,-0.169034088,-1.939657283,-1.786575151,-1.618934017,0.035199852,,-1.135614773,-0.392350523,-1.008445548,-1.498279993,-1.411559714,-1.983295417,0.364686286,-1.15736312,-0.890976739,-1.158009695,-0.150618762,-0.246008415,-0.877209948,,-1.064324196,-3.446246852,-0.684284506,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/1/2013,0.108488064,0.094529497,0.108489741,0.09732121,,0.108488064,0.118361534,9.74854E-05,0.063613386,0.064160045,0.062780071,-0.000575047,-0.004181739,-0.001379974,,,
3544,0.99546811,,0.029378105,0.040881544,0.191746011,6.91377449,1.25317955,1.957388163,0.812194228,,0.115230791,0.047813606,0.238073722,0,0.173710525,-1.724206805,-1.628219008,0.01356107,0,,0.018435501,-0.318337768,-0.294193327,-0.327315062,-0.327315062,-2.42847681,0.978761673,0.209225371,-0.060586754,0.050371047,0,0,0.155944377,0.010241891,-0.876343489,-3.368997097,0.120985344,,,-1.080852023,-0.186010599,-2.25066753,-0.381195054,,0.60648085,,,-1.023262399,0.540785406,0.731856274,-0.166254126,-1.986456263,-1.880612399,-1.685129295,-0.15831169,,-1.1884947,-0.342108692,-1.016946609,-1.53604868,-1.433187608,-1.993903729,0.368538576,-1.149747976,-0.876349251,-1.172375323,-0.154033851,-0.253004492,-1.018064026,,-0.892422859,-3.451004236,-1.040793719,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,28/2/2013,0.108489741,0.09732121,0.108837731,0.099554916,,0.108489741,0.132242339,0.000564186,0.060705322,0.062205025,0.05508393,-0.006271922,-0.021579075,-0.007121095,,,
3544,0.97188693,,0.03025694,0.040881544,0.191937476,6.91519165,1.252701521,1.961090565,0.838072896,,0.115230791,0.049243927,0.238409162,0,0.173710525,-1.620315194,-1.503835917,0.013758712,0,,0.018986991,-0.369305938,-0.223606572,-0.259655505,-0.259655505,-2.061723232,0.943439305,0.208194226,-0.044387423,0.051877871,0,0,0.112230606,0.010241891,-0.66727668,-3.362887383,0.12765494,,,-1.073862206,-0.098991394,-2.229341348,-0.405038327,,0.509797115,,,-1.018016044,0.523798057,0.691220541,-0.185232524,-1.846039126,-1.756298967,-1.622406947,-0.199738523,,-1.11197971,-0.406274983,-0.894818589,-1.322672656,-1.299427407,-1.945146818,0.292231678,-1.126718168,-0.778352324,-1.103737895,-0.15264736,-0.236353033,-1.167288375,,-0.677230943,-3.448934516,-1.006136216,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/3/2013,0.108837731,0.099554916,0.110169651,0.101411479,,0.108837731,0.128446277,0.000384495,0.044641824,0.048812007,0.060900244,0.003398667,0.036631019,0.012088236,,,
3544,0.974000186,,0.040220316,0.055258747,0.186401397,6.960070133,1.248229742,1.968022704,0.870806515,,0.127575785,0.056449462,0.244284093,0,0.164935097,-1.556664348,-1.410980701,0.018978732,0,,0.016229143,-0.356351227,-0.166830882,-0.130751058,-0.130751058,-1.418437839,0.95166111,0.206728697,-0.013526895,0.065305665,0,0,0.089743592,0.020405881,-0.685526073,-3.378452778,0.121521309,,,-1.058225992,-0.106270313,-2.222055905,-0.461509427,,0.532593652,,,-0.947318131,0.554462669,0.673887249,-0.291127257,-1.769534072,-1.622413814,-1.515361287,-0.164594294,,-1.182406331,-0.391953258,-0.786840798,-0.929525705,-0.914504443,-1.693141047,0.323032015,-1.100246929,-0.687962172,-0.99821474,-0.153849471,-0.240377248,-1.266919704,,-0.694127927,-3.465128629,-1.075743163,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/4/2013,0.110169651,0.101411479,0.109255175,0.103163114,,0.110169651,0.121802504,0.000135323,0.077282786,0.06429891,0.080251607,0.016160824,0.048341507,0.015952697,,,
3544,1.199665277,,0.033665895,0.055258747,0.181544766,6.964943886,1.247844934,1.97107923,0.730029345,,0.127575785,0.047250289,0.249870181,0,0.164935097,-1.622951627,-1.409968972,0.016008815,0,,0.013584395,-0.325445294,-0.09197741,-0.07298094,-0.07298094,-0.8030563,0.943488181,0.227725655,0.00232074,0.05466326,0,0,0.120569661,0.020405881,-0.065474629,-3.234324932,0.238835409,,,-1.071361173,-4,-2.106432176,-0.431451086,,0.217468999,,,-1.0714622,0.571858849,0.668276394,-0.242412426,-1.804090176,-1.651817289,-1.62395172,-0.105492171,,-1.289211683,-0.357463669,-0.619660279,-0.724989717,-0.740655708,-1.425705169,0.300591535,-0.948562725,-0.595042483,-1.05172505,-0.155580021,-0.307281995,-1.182875414,,-0.066472337,-3.319880103,0.404124909,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/5/2013,0.109255175,0.103163114,0.096943041,0.104381526,,0.109255175,0.094121552,0.000229027,0.10556889,0.096412432,0.102563869,0.021081974,0.018640718,0.006151437,,,
3544,0.851346463,,0.039520837,0.03534361,0.18208091,6.931423664,1.273316503,1.973647237,0.858107507,,0.132100523,0.057435006,0.249593556,0,0.188247964,-1.549757123,-1.391646981,0.019416777,0,,0.017914172,-0.27803424,-0.156024098,-0.099815749,-0.099815749,-1.220992565,1.028689623,0.220499307,-0.019701602,0.057653919,0,0,0.119381726,0.018708935,-0.211170018,-3.290974855,0.271817327,,,-1.161281737,-0.163363218,-2.118772954,-0.392858088,,0.309734177,,,-0.975127858,0.559023818,0.698224469,-0.101880123,-1.71899461,-1.637587932,-1.565934194,-0.001456294,,-1.226590696,-0.290222899,-0.739868428,-0.831985824,-0.845201975,-1.598629485,0.506303871,-1.000482111,-0.695691884,-1.036204945,-0.161686984,-0.300510072,-1.171535654,,-0.214148784,-3.38373145,0.612402442,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/6/2013,0.096943041,0.104381526,0.087487406,0.102893829,,0.096943041,0.093819763,9.75487E-06,0.113156298,0.123645842,0.130230174,0.026349439,0.01995252,0.006584332,,,
3544,1.057941284,,0.037406553,0.03534361,0.181380332,6.9328866,1.272841811,1.977080822,0.813613534,,0.132100523,0.054362353,0.250658184,0,0.188247964,-1.498749852,-1.334339738,0.018480279,0,,0.0169558,-0.293322265,-0.146513298,-0.099815749,-0.099815749,-1.220992565,1.030247092,0.220745996,-0.019701602,0.054569554,0,0,0.153284743,0.018708935,-0.093107231,-3.301859379,0.283389628,,,-1.170960748,-0.173101425,-2.070066867,-0.385738172,,0.263722093,,,-0.950484593,0.57490652,0.711332906,-0.087560298,-1.650539521,-1.579647046,-1.524737501,0.123886976,,-1.20597535,-0.308241518,-0.736771285,-0.852946386,-0.85604939,-1.604449953,0.532738503,-1.029653725,-0.698175127,-1.006279219,-0.164197116,-0.298454771,-1.039396489,,-0.094407319,-3.397807689,0.600252865,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/7/2013,0.087487406,0.102893829,0.101242249,0.099812544,,0.087487406,0.095590854,6.56659E-05,0.137509949,0.156579613,0.150750032,0.021685775,-0.017665396,-0.005829581,,,
3544,1.24103775,,0.030299308,0.03534361,0.182817459,6.93515873,1.274029136,1.968514323,0.656171441,,0.132100523,0.044033505,0.254489332,0,0.188247964,-1.604783773,-1.387163758,0.015006173,0,,0.013734199,-0.320901722,-0.146350697,-0.102377802,-0.102377802,-1.247493744,0.973931909,0.227451861,-0.020286748,0.044201341,0,0,0.189910948,0.018708935,0.557803452,-3.104669094,0.284154326,,,-1.184349352,-0.140036345,-2.080524508,-0.388252482,,-0.051164778,,,-1.080967563,0.630149879,0.656795816,-0.104620566,-1.782122752,-1.667218543,-1.639245952,0.087709428,,-1.285606334,-0.337167703,-0.721792239,-0.8352867,-0.842119232,-1.621179736,0.394878203,-0.986921098,-0.70323213,-1.118201566,-0.158788082,-0.299032396,-0.898240731,,0.566848169,-3.194313146,0.58564483,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,31/8/2013,0.101242249,0.099812544,0.08192817,0.100098485,,0.101242249,0.085858437,0.000236662,0.138633364,0.172435807,0.160353375,0.012019829,-0.036613429,-0.012082432,,,
3544,1.019594285,,0.029705204,0.03534361,0.183607399,6.93489933,1.27355206,1.971947908,0.644427419,,0.132100523,0.043170102,0.2548801,0,0.188247964,-1.575301886,-1.322258949,0.014946651,0,,0.013464901,-0.301664561,-0.112399027,-0.070722722,-0.070722722,-0.981194735,0.963941693,0.226831645,-0.013530199,0.043334644,0,0,0.188375697,0.018708935,0.351996392,-3.169066906,0.270858914,,,-1.182620245,-0.071172714,-2.059975899,-0.399297358,,0.019567846,,,-1.028375817,0.608996855,0.605503839,-0.129055864,-1.738897708,-1.611943104,-1.590954188,-0.034068724,,-1.289042422,-0.317412076,-0.655153208,-0.726870727,-0.73696964,-1.502276218,0.39483947,-0.91190679,-0.631904703,-1.030479696,-0.150494959,-0.306620606,-0.901732148,,0.356684003,-3.263818087,0.484681687,"PHOTOOPTICAL,MICROS,OFFC.MCH.",TECH,CN,30/9/2013,0.08192817,0.100098485,0.096242938,0.096464422,,0.08192817,0.081444805,2.33642E-07,0.136384575,0.172373205,0.151559959,-0.004630768,-0.063070443,-0.020813246,,,
