,12816,12707,9643,12698,12697,9644,12693,9645,9646,12689,12688,9647,12684,12683,9648,9649,9650,12674,9651,9652
aroe_cwcnorm,0.0597,0.1532,-0.0308,-0.0649,-0.0309,0.1099,-0.0778,-0.0382,-0.1243,-0.0473,0.0778,-0.1561,0.0125,0.0148,-0.1065,0.1463,-0.1613,-0.0198,0.1336,0.0603
asst_risk_cwcnorm,-0.2424,-0.4823,-0.2220,-0.2560,-0.1621,-0.0778,-0.1631,-0.3933,-0.3519,-0.4589,-0.3907,-0.0577,-0.3429,-0.0416,-0.1999,0.1245,-0.0864,0.0598,-0.1617,-0.3375
blev_cwcnorm,-0.2209,0.2076,0.3810,0.5300,0.4064,0.3876,0.3855,0.7363,0.1255,-0.2997,0.2838,0.1635,0.1037,0.0826,0.6244,-0.2057,0.2036,-0.0656,0.0711,0.0131
btop_risk_cwcnorm,-0.2241,-0.0035,0.1663,0.2563,-0.2414,0.0319,0.0520,-0.6802,-0.5535,0.2647,-0.1377,-0.1595,0.4870,0.0706,-0.1685,0.2506,0.2427,0.0471,0.2181,0.3911
ctop_cwcnorm,0.3017,-0.2490,0.1845,-0.0711,-0.1685,0.2094,0.0180,-0.4331,-0.3925,-0.0157,-0.1950,-0.2471,0.1914,0.0674,0.1400,0.0307,0.3190,-0.0229,-0.4378,-0.1467
dcut_cwcnorm,-0.0781,-0.0494,0.5173,0.0506,-0.0528,0.2953,-0.3373,-0.2812,-0.0160,-0.1530,-0.3920,0.2060,-0.1172,0.0481,0.4739,0.3755,0.2295,0.3397,-0.0410,-0.0452
dsuseh_cwcnorm,-0.1713,-0.2420,-0.4273,-0.2815,-0.1123,-0.1083,-0.1879,0.1621,-0.2003,0.0634,-0.1299,-0.3468,-0.2096,0.0538,-0.4643,0.0044,-0.4179,0.1523,-0.1224,0.1015
dtoa_cwcnorm,-0.2853,0.2648,0.4025,0.4583,0.2517,0.4082,0.4445,-0.1949,0.0706,-0.3632,0.2775,0.1915,0.1363,0.2223,0.6111,-0.3482,0.2076,-0.1517,0.1945,0.0671
e_p_cwcnorm,0.2802,-0.2646,0.1252,-0.1768,-0.2427,0.0718,-0.1093,-0.3078,-0.1241,-0.1517,-0.2308,-0.1166,-0.1746,-0.0362,0.2441,-0.1547,0.2273,0.0030,-0.4112,-0.1942
epsn_cwcnorm,0.1934,-0.2911,0.0169,-0.2376,-0.2932,-0.2111,-0.0929,-0.3036,-0.2644,-0.2026,-0.1292,-0.0138,-0.3512,0.0664,0.2176,-0.1281,0.1780,-0.0372,-0.4563,-0.1417
